name,label,summary,description
texlive-bibtex,工具," Process bibliographies for LaTeX, etc"," BibTeX allows the user to store his citation data in generic
form, while printing citations in a document in the form
specified by a BibTeX style, to be specified in the document
itself (one often needs a LaTeX citation-style package, such as
natbib as well). BibTeX itself is an ASCII-only program; there
is, however, a version that copes with 8-bit character sets.
However, BibTeX's facilities rapidly run out as one moves away
from simple ASCII (for example, in the various national sorting
rules for languages expressed in different parts of ISO-8859 --
the ""ISO Latin"" series). For more flexibility, the user is
urged to consider using biber with biblatex to typeset its
output. In particular, it is best to avoid BibTeX in favour of
biblatex, if at all possible."
tesseract-script-oriya,工具, Oriya script data for tesseract-tessdata," This package contains the fast integer version of the Oriya script
trained models for the Tesseract Open Source OCR Engine."
gcc-toolset-11-libgccjit,工具, Library for embedding GCC inside programs and libraries, This package contains shared library with GCC 11 JIT front-end.
tpm-quote-tools,工具,TPM-based attestation using the TPM quote operation (tools) ,"TPM Quote Tools is a collection of programs that provide support
for TPM based attestation using the TPM quote operation. "
tesseract-script-kannada,工具, Kannada script data for tesseract-tessdata," This package contains the fast integer version of the Kannada script
trained models for the Tesseract Open Source OCR Engine."
texlive-pst-arrow,工具, special arrows for PSTricks," This package has all the code from the package pstricks-add
which was related to arrows, like multiple arrows and so on."
kf5-kitemviews,工具, KDE Frameworks 5 Tier 1 addon with item views, KDE Frameworks 5 Tier 1 addon with item views.
efibootmgr,工具,EFI Boot Manager ,"efibootmgr displays and allows the user to edit the Intel Extensible
Firmware Interface (EFI) Boot Manager variables.  Additional
information about EFI can be found at
http://developer.intel.com/technology/efi/efi.htm and http://uefi.org/. "
conntrack-tools,工具,Manipulate netfilter connection tracking table and run High Availability ,"With conntrack-tools you can setup a High Availability cluster and
synchronize conntrack state between multiple firewalls.

The conntrack-tools package contains two programs:
- conntrack: the command line interface to interact with the connection
             tracking system.
- conntrackd: the connection tracking userspace daemon that can be used to
              deploy highly available GNU/Linux firewalls and collect
              statistics of the firewall use.

conntrack is used to search, list, inspect and maintain the netfilter
connection tracking subsystem of the Linux kernel.
Using conntrack, you can dump a list of all (or a filtered selection  of)
currently tracked connections, delete connections from the state table,
and even add new ones.
In addition, you can also monitor connection tracking events, e.g.
show an event message (one line) per newly established connection. "
tesseract-langpack-que,工具, Quechuan language data for tesseract-tessdata," This package contains the fast integer version of the Quechuan language
trained models for the Tesseract Open Source OCR Engine."
kf5-knewstuff,工具, KDE Frameworks 5 Tier 3 module for downloading application assets," KDE Frameworks 5 Tier 3 module for downloading and sharing additional
application data like plugins, themes, motives, etc."
gcc-toolset-11-systemtap-runtime,工具, Programmable system-wide instrumentation system - runtime," SystemTap runtime contains the components needed to execute
a systemtap script that was already compiled into a module
using a local or remote systemtap-devel installation."
vulkan-tools,工具, Vulkan tools, Vulkan tools
ipa-selinux,工具, FreeIPA SELinux policy, Custom SELinux policy module for FreeIPA
fonts-tweak-tool,工具, Tool for customizing fonts per language," fonts-tweak-tool is a GUI tool for customizing fonts per language on desktops
using fontconfig."
pigz,工具,Parallel implementation of gzip ,"pigz, which stands for parallel implementation of gzip,
is a fully functional replacement for gzip that exploits
multiple processors and multiple cores to the hilt when compressing data. "
maven-plugin-testing-harness,工具, Maven Plugin Testing Mechanism, The Maven Plugin Testing Harness provides mechanisms to manage tests on Mojo.
hunspell-ar,工具, Arabic hunspell dictionaries," Arabic (Egypt, Algeria, etc.) hunspell dictionaries."
tesseract-langpack-ori,工具, Oriya language data for tesseract-tessdata," This package contains the fast integer version of the Oriya language
trained models for the Tesseract Open Source OCR Engine."
dconf,工具, A configuration system," dconf is a low-level configuration system. Its main purpose is to provide a
backend to the GSettings API in GLib."
tesseract-langpack-bos,工具, Bosnian language data for tesseract-tessdata," This package contains the fast integer version of the Bosnian language
trained models for the Tesseract Open Source OCR Engine."
gnuplot,工具, A program for plotting mathematical expressions and data," Gnuplot is a command-line driven, interactive function plotting
program especially suited for scientific data representation.  Gnuplot
can be used to plot functions and data points in both two and three
dimensions and in many different formats.

Install gnuplot if you need a graphics package for scientific data
representation.

This package provides a Qt based terminal version of gnuplot."
tesseract-langpack-tel,工具, Telugu language data for tesseract-tessdata," This package contains the fast integer version of the Telugu language
trained models for the Tesseract Open Source OCR Engine."
annobin-annocheck,工具, A tool for checking the security hardening status of binaries," Installs the annocheck program which uses the notes generated by annobin to
check that the specified files were compiled with the correct security
hardening options."
wireshark-cli,工具, Network traffic analyzer," This package contains command-line utilities, plugins, and documentation for
Wireshark."
uuid,工具, Universally Unique Identifier library," OSSP uuid is a ISO-C:1999 application programming interface (API)
and corresponding command line interface (CLI) for the generation
of DCE 1.1, ISO/IEC 11578:1996 and RFC 4122 compliant Universally
Unique Identifier (UUID). It supports DCE 1.1 variant UUIDs of version
1 (time and node based), version 3 (name based, MD5), version 4
(random number based) and version 5 (name based, SHA-1). Additional
API bindings are provided for the languages ISO-C++:1998 and Perl:5
Optional backward compatibility exists for the ISO-C DCE-1.1 and Perl
Data::UUID APIs."
tesseract-langpack-chi_tra,工具, Chinese (Traditional) language data for tesseract-tessdata," This package contains the fast integer version of the Chinese (Traditional) language
trained models for the Tesseract Open Source OCR Engine."
sos,工具,A set of tools to gather troubleshooting information from a system ,"Sos is a set of tools that gathers information about system
hardware and configuration. The information can then be used for
diagnostic purposes and debugging. Sos is commonly used to help
support technicians and developers. "
libfdisk,工具, Partitioning library for fdisk-like programs.," This is library for fdisk-like programs, part of util-linux."
python36-rpm-macros,工具, RPM macros for building RPMs with Python 3.6," RPM macros for building RPMs with Python 3.6 from the python36 module.
If you want to build an RPM against the python36 module, you need to
BuildRequire: python36-rpm-macros."
tigervnc,工具, A TigerVNC remote display system," Virtual Network Computing (VNC) is a remote display system which
allows you to view a computing 'desktop' environment not only on the
machine where it is running, but from anywhere on the Internet and
from a wide variety of machine architectures.  This package contains a
client which will allow you to connect to other desktops running a VNC
server."
gcc-toolset-9-systemtap-client,工具, Programmable system-wide instrumentation system - client," This package contains/requires the components needed to develop
systemtap scripts, and compile them using a local systemtap-devel
or a remote systemtap-server installation, then run them using a
local or remote systemtap-runtime.  It includes script samples and
documentation, and a copy of the tapset library for reference."
gcc-toolset-10-build,工具, Package shipping basic build configuration, Package shipping essential configuration macros to build gcc-toolset-10 Software Collection.
supermin,工具, Tool for creating supermin appliances," Supermin is a tool for building supermin appliances.  These are tiny
appliances (similar to virtual machines), usually around 100KB in
size, which get fully instantiated on-the-fly in a fraction of a
second when you need to boot one of them."
texlive-zapfding,工具," URW ""Base 35"" font pack for LaTeX"," A set of fonts for use as ""drop-in"" replacements for Adobe's
basic set, comprising: - Century Schoolbook (substituting for
Adobe's New Century Schoolbook); - Dingbats (substituting for
Adobe's Zapf Dingbats); - Nimbus Mono L (substituting for
Abobe's Courier); - Nimbus Roman No9 L (substituting for
Adobe's Times); - Nimbus Sans L (substituting for Adobe's
Helvetica); - Standard Symbols L (substituting for Adobe's
Symbol); - URW Bookman; - URW Chancery L Medium Italic
(substituting for Adobe's Zapf Chancery); - URW Gothic L Book
(substituting for Adobe's Avant Garde); and - URW Palladio L
(substituting for Adobe's Palatino)."
hunspell-nl,工具, Dutch hunspell dictionaries, Dutch hunspell dictionaries.
gcc-toolset-10-gcc,工具, GCC version 10, The gcc-toolset-10-gcc package contains the GNU Compiler Collection version 10.
erofs-utils,工具, Utilities for working with EROFS," EROFS stands for Enhanced Read-Only File System.  Different from other
read-only file systems, it is designed for flexibility, scalability, and
simplicity for high performance.

The erofs-utils package includes mkfs.erofs to create EROFS images."
zenity,工具, Display dialog boxes from shell scripts," Zenity lets you display Gtk+ dialog boxes from the command line and through
shell scripts. It is similar to gdialog, but is intended to be saner. It comes
from the same family as dialog, Xdialog, and cdialog."
libsmartcols,工具, Formatting library for ls-like programs.," This is library for ls-like terminal programs, part of util-linux."
texlive-ulem,工具, Package for underlining," The package provides an \ul (underline) command which will
break over line ends; this technique may be used to replace \em
(both in that form and as the \emph command), so as to make
output look as if it comes from a typewriter. The package also
offers double and wavy underlining, and striking out (line
through words) and crossing out (/// over words). The package
works with both Plain TeX and LaTeX."
qemu-kvm-docs,工具, qemu-kvm documentation, qemu-kvm-docs provides documentation files regarding qemu-kvm.
tesseract-langpack-urd,工具, Urdu language data for tesseract-tessdata," This package contains the fast integer version of the Urdu language
trained models for the Tesseract Open Source OCR Engine."
hunspell-tk,工具, Turkmen hunspell dictionaries, Turkmen hunspell dictionaries.
postfix-perl-scripts,工具, Postfix utilities written in perl," This package contains perl scripts pflogsumm and qshape.

Pflogsumm is a log analyzer/summarizer for the Postfix MTA. It is
designed to provide an over-view of Postfix activity. Pflogsumm
generates summaries and, in some cases, detailed reports of mail
server traffic volumes, rejected and bounced email, and server
warnings, errors and panics.

qshape prints Postfix queue domain and age distribution."
grub2-efi-x64,工具,GRUB for EFI systems. ,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides support for efi-x64 systems. "
texlive-l3kernel,工具, LaTeX3 programming conventions," The l3kernel bundle provides an implementation of the LaTeX3
programmers' interface, as a set of packages that run under
LaTeX 2e. The interface provides the foundation on which the
LaTeX3 kernel and other future code are built: it is an API for
TeX programmers. The packages are set up so that the LaTeX3
conventions can be used with regular LaTeX 2e packages. All the
files of the bundle are also available in the Subversion (SVN)
repository of the LaTeX3 Project."
clevis-systemd,工具, systemd integration for clevis, Automatically unlocks clevis-bound LUKS block devices during boot.
cmake-gui,工具, Qt GUI for cmake, The cmake-gui package contains the Qt based GUI for cmake.
gcc-toolset-10-dwz,工具, DWARF optimization and duplicate removal tool," The dwz package contains a program that attempts to optimize DWARF
debugging information contained in ELF shared libraries and ELF executables
for size, by replacing DWARF information representation with equivalent
smaller representation where possible and by reducing the amount of
duplication using techniques from DWARF standard appendix E - creating
DW_TAG_partial_unit compilation units (CUs) for duplicated information
and using DW_TAG_imported_unit to import it into each CU that needs it."
kf5-kinit,工具, KDE Frameworks 5 tier 3 solution for process launching," kdeinit is a process launcher somewhat similar to the famous init used for
booting UNIX.

It launches processes by forking and then loading a dynamic library which should
contain a 'kdemain(...)' function."
kf5-kio,工具, KDE Frameworks 5 Tier 3 solution for filesystem abstraction, KDE Frameworks 5 Tier 3 solution for filesystem abstraction
grub2-tools-extra,工具, Support tools for GRUB.," 
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides tools for support of all platforms."
python38-setuptools,工具, Easily build and distribute Python 3 packages," Setuptools is a collection of enhancements to the Python 3 distutils that allow
you to more easily build and distribute Python 3 packages, especially ones that
have dependencies on other packages.

This package also contains the runtime components of setuptools, necessary to
execute the software that requires pkg_resources.py."
ibus-libzhuyin,工具, New Zhuyin engine based on libzhuyin for IBus," It includes a Chinese Zhuyin (Bopomofo) input method
based on libzhuyin for IBus."
apr-util-ldap,工具, APR utility library LDAP support, This package provides the LDAP support for the apr-util.
coreos-installer-bootinfra,工具, coreos-installer boot-time infrastructure for use on Fedora/RHEL CoreOS," This subpackage contains boot-time infrastructure for Fedora CoreOS and
RHEL CoreOS.  It is not needed on other platforms."
python2-pip-wheel,工具, The pip wheel, A Python wheel of pip to use with venv.
sscg,工具, Simple SSL certificate generator," A utility to aid in the creation of more secure ""self-signed""
certificates. The certificates created by this tool are generated in a
way so as to create a CA certificate that can be safely imported into a
client machine to trust the service certificate without needing to set
up a full PKI environment and without exposing the machine to a risk of
false signatures from the service certificate."
virt-viewer,工具, Virtual Machine Viewer," Virtual Machine Viewer provides a graphical console client for connecting
to virtual machines. It uses the GTK-VNC or SPICE-GTK widgets to provide
the display, and libvirt for looking up VNC/SPICE server details."
exfat-utils,工具, Utilities for exFAT file system," A set of utilities for creating, checking, dumping and labeling exFAT file
system."
helm-fish-completion,工具, Fish Completion for helm, Fish command line completion support for helm.
rpcgen,工具, RPC protocol compiler," rpcgen is a tool that generates C code to implement an RPC protocol.
The input to rpcgen is a language similar to C known as RPC Language
(Remote Procedure Call Language)."
tesseract-langpack-mon,工具, Mongolian language data for tesseract-tessdata," This package contains the fast integer version of the Mongolian language
trained models for the Tesseract Open Source OCR Engine."
tesseract-langpack-kan,工具, Kannada language data for tesseract-tessdata," This package contains the fast integer version of the Kannada language
trained models for the Tesseract Open Source OCR Engine."
maven-artifact,工具, Compatibility Maven artifact artifact, Maven artifact manager artifact
tesseract-langpack-est,工具, Estonian language data for tesseract-tessdata," This package contains the fast integer version of the Estonian language
trained models for the Tesseract Open Source OCR Engine."
hyphen-hr,工具, Croatian hyphenation rules, Croatian hyphenation rules.
qtchooser,工具, Wrapper to select between Qt development binary versions," Qt Chooser provides a wrapper to switch between versions of Qt development
binaries when multiple versions like 4 and 5 are installed or local Qt builds
are to be used."
texlive-epsf,工具, Simple macros for EPS inclusion," The original graphics inclusion macros for use with dvips;
still widely used by Plain TeX users (in particular). For LaTeX
users, the package is nowadays deprecated in favour of the more
sophisticated standard LaTeX graphics bundle of packages (which
are also available to Plain TeX users, either via its Plain TeX
version, or through the support offered by etex)."
libzip-tools,工具, Command line tools from libzip," The libzip-tools package provides command line tools split off libzip:
- zipcmp
- zipmerge
- ziptool"
dracut-caps,工具,dracut modules to build a dracut initramfs which drops capabilities ,"This package requires everything which is needed to build an
initramfs with dracut, which drops capabilities. "
rpm-build-libs,工具, Libraries for building and signing RPM packages," This package contains the RPM shared libraries for building and signing
packages."
ruby,工具, An interpreter of object-oriented scripting language," Ruby is the interpreted scripting language for quick and easy
object-oriented programming.  It has many features to process text
files and to do system management tasks (as in Perl).  It is simple,
straight-forward, and extensible."
texlive-texlive-msg-translations,工具, translations of the TeX Live installer and TeX Live Manager," This package contains the translated messages of the TeX Live
installer and TeX Live Manager.  For information on creating or
updating translations, see
http://tug.org/texlive/doc.html#install-tl-xlate."
npm,工具, Node.js Package Manager," npm is a package manager for node.js. You can use it to install and publish
your node programs. It manages dependencies and does other cool stuff."
hwloc-gui,工具, The gui-based hwloc program(s), GUI-based tool for displaying system topology information.
grub2-efi-ia32-cdboot,工具,Files used to boot removeable media with EFI ,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides optional components of grub used with removeable media on efi-ia32 systems. "
texlive-breqn,工具, Automatic line breaking of displayed equations," The package provides solutions to a number of common
difficulties in writing displayed equations and getting high-
quality output. For example, it is a well-known inconvenience
that if an equation must be broken into more than one line,
'left...right' constructs cannot span lines. The breqn package
makes them work as one would expect whether or not there is an
intervening line break. The single most ambitious goal of the
package, however, is to support automatic linebreaking of
displayed equations. Such linebreaking cannot be done without
substantial changes under the hood in the way formulae are
processed; the code must be watched carefully, keeping an eye
on possible glitches. The bundle also contains the flexisym and
mathstyle packages, which are both designated as support for
breqn."
texlive-tex-gyre-math,工具, Maths fonts to match tex-gyre text fonts," TeX-Gyre-Math is to be a collection of maths fonts to match the
text fonts of the TeX-Gyre collection. The collection will be
made available in OpenType format, only; fonts will conform to
the developing standards for OpenType maths fonts. TeX-Gyre-
Math-Pagella (to match Tex-Gyre-Pagella) and TeX-Gyre-Math-
Termes (to match Tex-Gyre-Termes) fonts are provided."
cdparanoia,工具, Compact Disc Digital Audio (CDDA) extraction tool (or ripper)," Cdparanoia (Paranoia III) reads digital audio directly from a CD, then
writes the data to a file or pipe in WAV, AIFC or raw 16 bit linear
PCM format.  Cdparanoia doesn't contain any extra features (like the ones
included in the cdda2wav sampling utility).  Instead, cdparanoia's strength
lies in its ability to handle a variety of hardware, including inexpensive
drives prone to misalignment, frame jitter and loss of streaming during
atomic reads.  Cdparanoia is also good at reading and repairing data from
damaged CDs."
texlive-xetex-pstricks,工具, Running PStricks under XeTeX," The package provides an indirection scheme for XeTeX to use the
pstricks xdvipdfmx.cfg configuration file, so that XeTeX
documents will load it in preference to the standard
pstricks.con configuration file. With this configuration, many
PSTricks features can be used in xelatex or plain xetex
documents."
file-roller,工具, Tool for viewing and creating archives," File Roller is an application for creating and viewing archives files,
such as tar or zip files."
python3-libmount,工具, Python bindings for the libmount library," The libmount-python package contains a module that permits applications
written in the Python programming language to use the interface
supplied by the libmount library to work with mount tables (fstab,
mountinfo, etc) and mount filesystems."
zziplib-utils,工具, Utilities for the zziplib library," The zziplib library is intentionally lightweight, it offers the ability to
easily extract data from files archived in a single zip file. Applications
can bundle files into a single zip archive and access them. The implementation
is based only on the (free) subset of compression with the zlib algorithm
which is actually used by the zip/unzip tools.

This packages contains all the utilities that come with the zziplib library."
jq,工具, Command-line JSON processor," lightweight and flexible command-line JSON processor

 jq is like sed for JSON data _ you can use it to slice
 and filter and map and transform structured data with
 the same ease that sed, awk, grep and friends let you
 play with text.

 It is written in portable C, and it has zero runtime
 dependencies.

 jq can mangle the data format that you have into the
 one that you want with very little effort, and the
 program to do so is often shorter and simpler than
 you'd expect."
texlive-anysize,工具, A simple package to set up document margins," This package is considered obsolete; alternatives are the
typearea package from the koma-script bundle, or the geometry
package."
abrt-addon-coredump-helper,工具, abrt's /proc/sys/kernel/core_pattern helper, This package contains hook for C/C++ crashed programs.
yp-tools,工具, NIS (or YP) client programs," The Network Information Service (NIS) is a system which provides
network information (login names, passwords, home directories, groupinformation) to all of the machines on a network.  NIS can enable
information) to all of the machines on a network.  NIS can enable
users to login on any machine on the network, as long as the machine
has the NIS client programs running and the user's password is
recorded in the NIS passwd database.  NIS was formerly known as Sun
Yellow Pages (YP).

This package's NIS implementation is based on FreeBSD's YP and is a
special port for glibc 2.x and libc versions 5.4.21 and later.  This
package only provides the NIS client programs.  In order to use the
clients, you'll need to already have an NIS server running on your
network. An NIS server is provided in the ypserv package.

Install the yp-tools package if you need NIS client programs for machines
on your network.  You will also need to install the ypbind package on
every machine running NIS client programs.  If you need an NIS server,
you'll need to install the ypserv package on one machine on the network."
spirv-tools-libs,工具, Library files for spirv-tools, library files for spirv-tools
texlive-ae,工具, Virtual fonts for T1 encoded CMR-fonts," A set of virtual fonts which emulates T1 coded fonts using the
standard CM fonts. The package name, AE fonts, supposedly
stands for ""Almost European"". The main use of the package was
to produce PDF files using Adobe Type 1 versions of the CM
fonts instead of bitmapped EC fonts. Note that direct
substitutes for the bitmapped EC fonts are now available, via
the CM-super, Latin Modern and (in a restricted way) CM-LGC
font sets."
biosdevname,工具,Udev helper for naming devices per BIOS names ,"biosdevname in its simplest form takes a kernel device name as an
argument, and returns the BIOS-given name it ""should"" be.  This is necessary
on systems where the BIOS name for a given device (e.g. the label on
the chassis is ""Gb1"") doesn't map directly and obviously to the kernel
name (e.g. eth0). "
autogen,工具, Automated text file generator," AutoGen is a tool designed to simplify the creation and maintenance of
programs that contain large amounts of repetitious text. It is especially
valuable in programs that have several blocks of text that must be kept
synchronised."
evolution-mapi-langpacks,工具, Translations for evolution-mapi, This package contains translations for evolution-mapi.
hunspell-yi,工具, Yiddish hunspell dictionaries, Yiddish hunspell dictionaries.
ncompress,工具, Fast compression and decompression utilities," The ncompress package contains the compress and uncompress file
compression and decompression utilities, which are compatible with the
original UNIX compress utility (.Z file extensions).  These utilities
can't handle gzipped (.gz file extensions) files, but gzip can handle
compressed files.

Install ncompress if you need compression/decompression utilities
which are compatible with the original UNIX compress utility."
mailman,工具, Mailing list manager with built in Web access," Mailman is software to help manage email discussion lists, much like
Majordomo and Smartmail. Unlike most similar products, Mailman gives
each mailing list a webpage, and allows users to subscribe,
unsubscribe, etc. over the Web. Even the list manager can administer
his or her list entirely from the Web. Mailman also integrates most
things people want to do with mailing lists, including archiving, mail
<-> news gateways, and so on.

Documentation can be found in: /usr/share/doc/mailman

When the package has finished installing, you will need to perform some
additional installation steps, these are described in:
/usr/share/doc/mailman/INSTALL.REDHAT"
pkgconf-m4,工具, m4 macros for pkgconf," This package includes m4 macros used to support PKG_CHECK_MODULES
when using pkgconf with autotools."
composer-cli,工具, A command line tool for use with the lorax-composer API server," A command line tool for use with the lorax-composer API server. Examine recipes,
build images, etc. from the command line."
seavgabios-bin,工具, Seavgabios for x86, SeaVGABIOS is an open-source VGABIOS implementation.
avahi,服务, Local network service discovery," Avahi is a system which facilitates service discovery on
a local network -- this means that you can plug your laptop or
computer into a network and instantly be able to view other people who
you can chat with, find printers to print to or find files being
shared. This kind of technology is already found in MacOS X (branded
'Rendezvous', 'Bonjour' and sometimes 'ZeroConf') and is very
convenient."
pcp-pmda-lio,服务, Performance Co-Pilot (PCP) metrics for the LIO subsystem," This package provides a PMDA to gather performance metrics from the kernels
iSCSI target interface (LIO). The metrics are stored by LIO within the Linux
kernels configfs filesystem. The PMDA provides per LUN level stats, and a
summary instance per iSCSI target, which aggregates all LUN metrics within the
target."
fdo-owner-onboarding-server,服务, FDO Owner Onboarding Server implementation, FDO Owner Onboarding Server implementation
pacemaker-schemas,服务, Schemas and upgrade stylesheets for Pacemaker," Schemas and upgrade stylesheets for Pacemaker

Pacemaker is an advanced, scalable High-Availability cluster resource
manager."
krb5-server-ldap,服务,The LDAP storage plugin for the Kerberos 5 KDC ,"Kerberos is a network authentication system. The krb5-server package
contains the programs that must be installed on a Kerberos 5 key
distribution center (KDC).  If you are installing a Kerberos 5 KDC,
and you wish to use a directory server to store the data for your
realm, you need to install this package. "
freeradius-unixODBC,服务, Unix ODBC support for freeradius, This plugin provides the unixODBC support for the FreeRADIUS server project.
pcp-export-pcp2zabbix,服务, Performance Co-Pilot tools for exporting PCP metrics to Zabbix," Performance Co-Pilot (PCP) front-end tools for exporting metric values
to the Zabbix (https://www.zabbix.org/) monitoring software."
cronie,服务, Cron daemon for executing programs at set times," Cronie contains the standard UNIX daemon crond that runs specified programs at
scheduled times and related tools. It is a fork of the original vixie-cron and
has security and configuration enhancements like the ability to use pam and
SELinux."
epel-aliyuncs-next-release,服务, Extra Packages for Enterprise Linux Next repository configuration," This package contains the Extra Packages for Enterprise Linux (EPEL) Next
configuration for yum."
sssd,服务,System Security Services Daemon ,"Provides a set of daemons to manage access to remote directories and
authentication mechanisms. It provides an NSS and PAM interface toward
the system and a plug-gable back-end system to connect to multiple different
account sources. It is also the basis to provide client auditing and policy
services for projects like FreeIPA.

The sssd sub-package is a meta-package that contains the daemon as well as all
the existing back ends. "
xsettingsd,服务, Provides settings to X11 clients via the XSETTINGS specification," xsettingsd is a daemon that implements the XSETTINGS specification.

It is intended to be small, fast, and minimally dependent on other libraries.
It can serve as an alternative to gnome-settings-daemon for users who are not
using the GNOME desktop environment but who still run GTK+ applications and
want to configure things such as themes, font anti-aliasing/hinting, and UI
sound effects."
usbguard-selinux,服务, USBGuard selinux," The usbguard-selinux package contains selinux policy for the USBGuard
daemon."
rsyslog-mysql,服务, MySQL support for rsyslog," The rsyslog-mysql package contains a dynamic shared object that will add
MySQL database support to rsyslog."
bind9.16-utils,服务, Utilities for querying DNS name servers," Bind-utils contains a collection of utilities for querying DNS (Domain
Name System) name servers to find out information about Internet
hosts. These tools will provide you with the IP addresses for given
host names, as well as other information about registered domains and
network addresses.

You should install bind9.16-utils if you need to get information from DNS name
servers."
